gender,seniorcitizen,dependents,tenure,phoneservice,multiplelines,internetservice,contract,monthlycharges,churn
female,0,yes,18,yes,no,dsl,one_year,54.4,no
female,0,no,9,yes,yes,fiber_optic,month-to-month,94.4,yes
female,0,no,3,yes,no,dsl,month-to-month,75.3,no
male,0,no,47,yes,yes,fiber_optic,one_year,78.9,no
female,0,no,31,yes,no,dsl,two_year,79.2,no
female,0,yes,50,yes,no,dsl,two_year,20.15,no
male,0,no,10,yes,no,fiber_optic,month-to-month,79.85,no
male,0,no,1,yes,no,dsl,month-to-month,49.05,no
female,0,yes,52,yes,no,dsl,one_year,20.4,no
male,1,yes,64,yes,yes,fiber_optic,two_year,111.6,no
male,0,yes,62,yes,yes,dsl,two_year,24.25,no
female,0,yes,3,yes,no,dsl,month-to-month,64.5,no
female,1,no,56,yes,yes,fiber_optic,one_year,110.5,no
female,0,no,46,yes,no,dsl,one_year,55.65,no
female,0,yes,8,yes,no,dsl,month-to-month,54.65,no
male,1,no,30,yes,no,dsl,month-to-month,74.75,no
female,0,yes,45,yes,yes,dsl,one_year,25.9,no
female,0,yes,1,yes,no,fiber_optic,month-to-month,79.35,yes
female,0,yes,11,no,no,dsl,month-to-month,50.55,no
female,0,no,7,yes,no,fiber_optic,month-to-month,75.15,yes
female,0,no,42,yes,no,fiber_optic,month-to-month,103.8,no
female,0,no,49,yes,no,dsl,two_year,20.15,no
male,0,no,9,yes,yes,fiber_optic,month-to-month,99.3,no
female,0,no,35,yes,no,dsl,one_year,62.15,no
female,0,yes,48,yes,no,dsl,two_year,20.65,no
female,0,yes,46,yes,no,dsl,two_year,19.95,no
male,0,no,29,no,no,dsl,month-to-month,33.75,no
male,0,yes,30,yes,no,fiber_optic,month-to-month,82.05,no
male,1,no,1,yes,no,fiber_optic,month-to-month,74.7,no
male,0,yes,66,yes,yes,dsl,two_year,84.0,no
female,0,no,65,yes,yes,fiber_optic,month-to-month,111.05,no
male,0,no,72,yes,yes,fiber_optic,two_year,100.9,no
female,0,no,12,yes,yes,fiber_optic,month-to-month,78.95,yes
male,0,yes,71,yes,yes,dsl,one_year,66.85,no
male,0,no,5,yes,no,dsl,month-to-month,21.05,yes
male,0,no,52,yes,no,dsl,two_year,21.0,no
female,1,no,25,yes,no,fiber_optic,month-to-month,98.5,yes
male,0,no,1,yes,no,dsl,month-to-month,20.2,no
female,0,yes,1,yes,no,dsl,month-to-month,19.45,no
male,0,no,38,yes,yes,fiber_optic,one_year,95.0,no
female,1,no,66,no,no,dsl,one_year,45.55,no
male,0,no,68,yes,yes,fiber_optic,two_year,110.0,yes
male,0,no,5,no,no,dsl,month-to-month,24.3,no
female,0,yes,72,yes,yes,fiber_optic,one_year,104.15,no
female,0,no,32,no,no,dsl,one_year,30.15,no
male,0,no,43,yes,yes,fiber_optic,one_year,94.35,no
male,0,yes,72,yes,no,dsl,two_year,19.4,no
male,0,no,55,yes,yes,fiber_optic,month-to-month,96.75,yes
female,0,no,52,yes,no,dsl,one_year,57.95,no
female,0,no,43,yes,no,fiber_optic,month-to-month,91.65,no
female,1,no,37,yes,yes,fiber_optic,month-to-month,76.5,yes
female,0,yes,64,no,no,dsl,two_year,54.6,no
male,0,yes,3,yes,no,fiber_optic,month-to-month,89.85,no
female,0,no,36,no,no,dsl,two_year,31.05,no
female,0,yes,10,yes,yes,fiber_optic,month-to-month,100.25,yes
female,0,no,41,yes,no,dsl,two_year,20.65,no
male,0,yes,27,yes,yes,fiber_optic,month-to-month,85.2,no
female,0,yes,56,yes,yes,fiber_optic,one_year,99.8,no
female,0,no,6,yes,no,dsl,month-to-month,20.7,no
male,0,no,3,yes,yes,fiber_optic,month-to-month,74.4,yes
female,0,yes,7,yes,no,dsl,month-to-month,50.7,no
female,0,yes,4,yes,no,dsl,month-to-month,20.85,no
male,0,no,33,yes,no,fiber_optic,two_year,88.95,no
female,1,no,27,yes,yes,fiber_optic,month-to-month,78.05,yes
male,0,no,72,yes,yes,dsl,two_year,23.55,no
male,0,no,1,yes,no,dsl,month-to-month,19.75,no
male,1,no,71,no,no,dsl,one_year,56.45,no
female,0,no,13,yes,yes,fiber_optic,month-to-month,85.95,no
female,0,yes,25,no,no,dsl,month-to-month,58.6,yes
male,0,no,67,yes,no,dsl,two_year,50.55,no
male,0,no,1,no,no,dsl,month-to-month,35.45,yes
male,0,no,2,yes,no,dsl,month-to-month,44.35,yes
female,0,no,43,yes,yes,dsl,two_year,25.7,no
female,0,no,23,yes,no,fiber_optic,month-to-month,75.0,no
female,0,yes,64,yes,no,dsl,two_year,20.2,no
male,0,yes,57,yes,no,dsl,two_year,19.6,no
female,1,no,1,yes,no,fiber_optic,month-to-month,70.45,yes
female,1,yes,72,yes,yes,dsl,two_year,88.05,no
female,0,no,8,yes,yes,dsl,month-to-month,71.15,yes
female,0,no,61,yes,yes,fiber_optic,two_year,101.05,no
male,0,no,64,yes,yes,fiber_optic,one_year,84.3,no
male,1,no,71,yes,yes,dsl,two_year,23.95,no
female,0,yes,65,yes,yes,fiber_optic,two_year,99.05,no
male,0,no,3,yes,no,dsl,one_year,19.6,no
male,0,no,1,yes,no,dsl,month-to-month,45.65,yes
male,0,yes,30,yes,no,dsl,one_year,64.5,no
male,0,yes,15,yes,no,dsl,month-to-month,69.5,no
female,0,yes,8,yes,no,dsl,month-to-month,68.55,no
male,0,no,7,yes,yes,fiber_optic,month-to-month,95.0,yes
female,0,yes,70,yes,yes,fiber_optic,one_year,108.15,no
male,0,yes,62,yes,no,dsl,two_year,86.1,no
female,0,yes,6,yes,no,dsl,month-to-month,19.7,no
female,0,yes,14,yes,no,fiber_optic,month-to-month,80.9,no
female,0,no,22,yes,yes,fiber_optic,month-to-month,84.15,no
male,0,yes,22,yes,no,dsl,one_year,20.15,no
male,0,yes,16,yes,no,dsl,two_year,64.25,no
male,0,no,10,yes,yes,dsl,two_year,25.7,no
female,0,yes,13,yes,no,dsl,month-to-month,56.0,no
female,0,no,20,yes,yes,fiber_optic,month-to-month,82.4,yes
female,0,no,2,yes,no,fiber_optic,month-to-month,69.7,no
male,0,no,53,yes,yes,dsl,two_year,73.9,no
female,0,yes,11,yes,no,dsl,one_year,20.6,no
male,0,no,69,yes,no,dsl,two_year,19.9,no
female,0,no,4,yes,no,fiber_optic,month-to-month,70.9,yes
male,0,no,72,yes,yes,dsl,two_year,89.05,no
male,1,no,58,no,no,dsl,month-to-month,45.3,yes
female,0,yes,16,yes,no,dsl,month-to-month,20.4,no
male,0,no,43,yes,no,fiber_optic,one_year,84.25,no
female,0,no,2,yes,yes,fiber_optic,month-to-month,104.4,yes
male,0,no,14,yes,no,dsl,two_year,81.95,no
female,0,no,53,yes,no,fiber_optic,one_year,94.85,yes
female,0,no,32,yes,no,dsl,one_year,20.55,no
female,0,no,34,yes,yes,dsl,month-to-month,24.7,no
female,1,no,15,yes,yes,fiber_optic,month-to-month,74.45,yes
female,1,no,7,yes,no,fiber_optic,month-to-month,76.45,yes
female,0,yes,15,yes,yes,fiber_optic,month-to-month,105.35,no
male,0,no,61,yes,no,dsl,one_year,20.55,no
female,0,no,1,no,no,dsl,month-to-month,29.95,yes
female,0,no,1,yes,no,dsl,month-to-month,45.3,no
male,0,no,8,yes,yes,fiber_optic,month-to-month,84.5,yes
male,0,yes,33,yes,no,dsl,one_year,74.75,no
female,0,no,13,yes,no,fiber_optic,month-to-month,79.25,yes
female,0,no,1,no,no,dsl,month-to-month,24.8,yes
male,0,no,20,yes,no,dsl,month-to-month,51.8,no
male,0,no,3,no,no,dsl,month-to-month,30.4,no
female,0,no,13,yes,no,dsl,one_year,19.65,no
female,0,no,40,yes,yes,dsl,month-to-month,56.6,no
male,0,yes,43,yes,yes,dsl,one_year,71.9,no
male,0,no,6,yes,no,fiber_optic,month-to-month,91.0,yes
female,0,yes,69,yes,no,dsl,two_year,19.75,no
female,0,yes,72,yes,yes,fiber_optic,two_year,109.7,no
male,0,yes,59,yes,no,dsl,two_year,19.3,no
female,0,no,20,yes,no,fiber_optic,month-to-month,96.55,no
male,0,yes,24,yes,yes,dsl,two_year,24.1,no
male,0,no,59,yes,yes,fiber_optic,month-to-month,111.35,no
male,0,yes,72,yes,yes,fiber_optic,two_year,112.25,no
male,0,yes,1,yes,no,dsl,month-to-month,20.75,no
female,0,no,27,yes,no,fiber_optic,one_year,101.9,no
female,0,no,14,yes,no,fiber_optic,month-to-month,80.05,no
male,0,yes,71,yes,yes,fiber_optic,two_year,105.55,no
male,0,yes,13,yes,no,fiber_optic,month-to-month,78.3,no
male,0,no,44,yes,no,fiber_optic,month-to-month,68.85,no
female,0,no,33,yes,no,fiber_optic,one_year,79.95,no
male,0,yes,72,no,no,dsl,two_year,55.45,no
male,0,no,1,yes,no,fiber_optic,month-to-month,79.9,yes
female,0,no,19,yes,no,fiber_optic,month-to-month,106.6,yes
male,0,no,64,yes,no,fiber_optic,one_year,102.45,no
male,0,no,2,yes,no,dsl,month-to-month,46.0,yes
female,0,no,1,no,no,dsl,month-to-month,25.25,no
male,0,yes,61,yes,no,dsl,two_year,19.75,no
female,0,yes,29,yes,no,dsl,one_year,20.0,no
male,1,no,23,yes,yes,fiber_optic,month-to-month,86.8,no
female,0,no,57,no,no,dsl,month-to-month,58.75,no
male,0,yes,72,no,no,dsl,two_year,45.25,no
male,0,no,66,no,no,dsl,two_year,56.6,no
male,0,yes,65,yes,yes,dsl,two_year,84.2,no
female,0,no,8,yes,no,fiber_optic,month-to-month,80.0,no
female,0,no,4,yes,no,fiber_optic,month-to-month,70.15,yes
female,0,no,71,yes,yes,dsl,two_year,24.75,no
male,0,yes,1,yes,no,dsl,one_year,20.2,no
male,0,no,4,yes,no,dsl,month-to-month,50.05,yes
female,0,no,12,yes,no,dsl,one_year,19.35,no
male,0,no,24,no,no,dsl,one_year,50.6,no
female,0,yes,31,yes,no,dsl,one_year,81.15,no
female,0,no,1,yes,no,dsl,month-to-month,55.2,yes
male,0,no,30,yes,yes,fiber_optic,month-to-month,89.9,no
female,0,yes,47,yes,yes,dsl,two_year,85.3,no
male,0,no,54,yes,yes,fiber_optic,two_year,108.0,no
male,0,no,50,yes,no,fiber_optic,month-to-month,93.5,no
male,0,no,1,yes,no,fiber_optic,month-to-month,84.6,yes
female,0,no,72,yes,no,dsl,two_year,20.25,no
female,0,no,29,yes,yes,dsl,month-to-month,25.15,no
male,0,no,2,yes,yes,dsl,month-to-month,54.4,yes
female,0,no,10,no,no,dsl,two_year,29.6,no
male,0,no,18,yes,yes,fiber_optic,month-to-month,73.15,no
female,1,no,11,yes,no,fiber_optic,month-to-month,95.0,yes
male,0,no,16,yes,no,dsl,two_year,19.75,no
female,0,no,72,yes,yes,dsl,two_year,86.6,no
male,0,no,72,yes,yes,fiber_optic,two_year,109.2,no
female,0,yes,41,yes,no,dsl,one_year,74.7,no
female,1,no,65,yes,no,fiber_optic,month-to-month,94.4,no
female,1,no,13,yes,no,dsl,month-to-month,54.8,no
male,1,no,4,yes,no,fiber_optic,month-to-month,75.35,no
male,0,no,41,yes,yes,dsl,one_year,65.0,no
male,1,no,15,yes,no,fiber_optic,month-to-month,74.4,yes
male,0,no,1,yes,no,dsl,month-to-month,48.55,yes
male,0,no,42,yes,yes,fiber_optic,one_year,99.0,no
female,0,no,51,yes,no,fiber_optic,one_year,93.5,no
female,0,yes,2,yes,no,fiber_optic,month-to-month,70.4,yes
male,1,no,1,no,no,dsl,month-to-month,40.2,yes
male,0,yes,32,yes,yes,dsl,one_year,83.7,no
male,0,no,10,yes,no,dsl,month-to-month,19.85,no
female,0,yes,67,no,no,dsl,two_year,59.55,no
female,0,yes,61,yes,yes,fiber_optic,two_year,115.1,no
male,0,no,50,yes,yes,fiber_optic,one_year,114.35,no
female,0,no,2,yes,no,dsl,month-to-month,44.6,yes
female,1,no,29,no,no,dsl,month-to-month,45.0,no
male,1,no,3,no,no,dsl,month-to-month,41.15,yes
male,1,no,13,yes,yes,fiber_optic,month-to-month,106.9,yes
male,1,no,57,yes,yes,fiber_optic,month-to-month,89.85,no
female,0,no,31,no,no,dsl,two_year,49.85,no
female,0,no,45,yes,yes,fiber_optic,one_year,113.3,no
female,0,yes,61,yes,yes,dsl,two_year,88.1,no
male,0,no,50,yes,yes,dsl,two_year,24.9,no
female,1,no,19,yes,no,fiber_optic,month-to-month,105.0,no
male,0,no,59,yes,no,dsl,two_year,19.35,yes
female,0,no,71,yes,yes,dsl,two_year,24.25,no
female,1,no,16,yes,no,fiber_optic,month-to-month,94.45,yes
male,0,no,57,yes,no,dsl,two_year,59.75,no
male,0,no,1,no,no,dsl,month-to-month,24.8,yes
male,1,no,20,yes,yes,fiber_optic,month-to-month,107.05,no
male,0,no,1,yes,no,fiber_optic,month-to-month,70.6,yes
male,0,no,5,yes,yes,fiber_optic,month-to-month,85.4,yes
female,0,no,52,yes,yes,fiber_optic,month-to-month,105.05,yes
male,1,no,21,yes,no,dsl,month-to-month,64.95,no
male,0,no,14,no,no,dsl,month-to-month,55.0,no
female,0,no,5,yes,no,dsl,month-to-month,50.55,no
female,0,no,6,yes,no,dsl,month-to-month,55.15,no
female,0,no,10,yes,no,dsl,month-to-month,51.2,no
female,0,yes,1,yes,yes,dsl,month-to-month,25.4,no
female,0,no,68,yes,yes,dsl,month-to-month,54.45,no
male,0,yes,18,yes,no,fiber_optic,month-to-month,95.15,yes
female,0,no,22,yes,yes,fiber_optic,one_year,76.0,no
female,0,no,20,yes,no,dsl,month-to-month,44.35,no
male,0,no,1,yes,no,fiber_optic,month-to-month,70.0,yes
male,1,no,8,yes,no,fiber_optic,month-to-month,74.5,yes
male,0,no,10,yes,no,dsl,month-to-month,44.85,yes
male,1,no,24,yes,yes,fiber_optic,month-to-month,76.1,yes
male,0,no,35,yes,no,dsl,one_year,61.2,no
male,0,yes,23,yes,no,fiber_optic,one_year,86.8,no
female,1,no,6,yes,no,fiber_optic,month-to-month,89.35,no
female,0,no,12,yes,no,dsl,month-to-month,19.7,no
male,0,no,1,yes,no,dsl,month-to-month,20.25,no
female,0,yes,71,yes,no,fiber_optic,two_year,76.05,no
male,1,no,35,yes,yes,fiber_optic,month-to-month,100.8,no
male,0,yes,40,yes,yes,dsl,month-to-month,74.55,no
female,0,yes,1,yes,no,fiber_optic,month-to-month,73.6,yes
male,0,no,23,yes,no,dsl,one_year,64.9,no
female,1,no,4,yes,yes,fiber_optic,month-to-month,95.45,yes
male,0,no,4,yes,no,fiber_optic,month-to-month,90.4,no
female,0,yes,68,no,no,dsl,two_year,60.3,no
male,0,yes,38,yes,yes,fiber_optic,month-to-month,81.85,no
male,0,yes,52,yes,yes,dsl,two_year,24.8,no
male,1,no,32,yes,yes,fiber_optic,month-to-month,74.9,yes
male,0,yes,29,yes,no,dsl,two_year,75.55,no
male,1,yes,38,yes,yes,fiber_optic,month-to-month,101.15,no
male,0,yes,48,yes,yes,dsl,one_year,78.75,no
female,0,no,1,yes,no,dsl,month-to-month,19.25,no
female,0,no,22,yes,no,fiber_optic,month-to-month,89.05,no
female,0,no,43,yes,yes,fiber_optic,two_year,115.05,no
female,1,no,5,yes,no,fiber_optic,month-to-month,69.35,no
male,0,no,5,yes,no,fiber_optic,month-to-month,80.6,yes
male,0,yes,51,yes,yes,fiber_optic,one_year,110.05,no
male,0,no,71,yes,no,dsl,two_year,19.9,no
female,0,yes,38,yes,no,dsl,one_year,80.3,yes
male,1,no,24,yes,no,fiber_optic,month-to-month,93.15,yes
male,0,no,35,yes,yes,fiber_optic,month-to-month,91.5,no
female,1,no,54,yes,yes,dsl,one_year,82.45,yes
female,0,yes,72,no,no,dsl,two_year,60.0,no
male,0,no,1,yes,no,dsl,month-to-month,44.8,no
female,0,yes,9,yes,no,dsl,one_year,48.6,no
male,0,no,69,no,no,dsl,two_year,60.05,no
female,0,no,52,yes,yes,fiber_optic,month-to-month,102.7,no
female,1,no,11,yes,no,fiber_optic,month-to-month,82.9,no
female,1,no,2,yes,no,fiber_optic,month-to-month,70.35,yes
female,1,yes,28,no,no,dsl,month-to-month,35.9,no
female,1,no,17,yes,yes,fiber_optic,month-to-month,82.65,no
female,0,yes,35,yes,no,dsl,two_year,19.85,no
female,0,no,8,yes,no,dsl,one_year,19.2,no
male,0,no,46,yes,yes,fiber_optic,one_year,94.9,no
female,0,no,7,yes,yes,fiber_optic,month-to-month,73.85,yes
female,0,no,2,yes,yes,fiber_optic,month-to-month,80.6,yes
male,0,yes,68,yes,yes,dsl,one_year,75.8,yes
female,0,no,43,yes,yes,fiber_optic,two_year,104.6,yes
female,0,no,68,yes,yes,dsl,two_year,88.15,no
female,0,no,36,yes,no,fiber_optic,month-to-month,94.8,no
male,0,no,63,yes,yes,fiber_optic,month-to-month,103.4,yes
female,1,no,32,yes,no,dsl,month-to-month,54.65,no
female,0,no,71,yes,yes,dsl,two_year,85.75,no
female,0,yes,66,yes,yes,dsl,month-to-month,67.45,no
male,0,no,63,yes,no,dsl,one_year,20.5,no
female,0,yes,41,yes,no,dsl,one_year,20.25,no
female,1,no,1,yes,yes,fiber_optic,month-to-month,72.1,no
female,0,no,2,yes,no,fiber_optic,month-to-month,90.4,yes
female,0,no,70,yes,no,dsl,two_year,19.45,no
female,0,no,23,no,no,dsl,month-to-month,44.95,no
female,1,no,64,yes,no,fiber_optic,one_year,97.0,no
male,0,yes,37,yes,yes,dsl,two_year,62.8,no
male,0,yes,17,yes,no,dsl,one_year,44.6,no
female,1,no,7,yes,no,fiber_optic,month-to-month,89.15,no
male,0,yes,4,yes,yes,fiber_optic,month-to-month,84.8,yes
female,1,no,21,no,no,dsl,month-to-month,41.9,yes
female,0,no,10,yes,no,fiber_optic,month-to-month,80.25,yes
female,1,no,16,yes,yes,dsl,month-to-month,54.1,no
male,0,no,64,yes,yes,fiber_optic,two_year,105.25,no
male,1,no,27,no,no,dsl,month-to-month,30.75,yes
male,0,yes,42,yes,yes,fiber_optic,one_year,97.1,no
male,0,yes,5,yes,no,dsl,month-to-month,20.2,no
female,0,no,41,yes,no,fiber_optic,two_year,98.8,no
male,0,no,58,yes,no,dsl,one_year,50.3,no
female,0,no,47,yes,no,dsl,two_year,20.55,no
male,0,no,18,yes,no,fiber_optic,month-to-month,75.9,no
male,0,no,5,yes,no,fiber_optic,month-to-month,96.5,yes
male,0,no,23,yes,no,dsl,month-to-month,59.95,no
female,0,no,1,yes,no,dsl,month-to-month,19.15,no
male,0,no,71,yes,yes,fiber_optic,one_year,98.65,no
male,0,yes,72,yes,yes,fiber_optic,two_year,112.6,no
male,0,yes,33,yes,no,dsl,one_year,20.6,no
male,0,no,2,yes,yes,fiber_optic,month-to-month,85.65,yes
male,0,yes,24,no,no,dsl,two_year,35.75,no
female,0,yes,56,yes,yes,fiber_optic,one_year,99.75,no
male,0,no,37,yes,no,fiber_optic,month-to-month,96.1,no
female,0,no,43,yes,yes,dsl,one_year,85.1,no
male,0,no,1,no,no,dsl,month-to-month,25.35,no
female,0,no,25,yes,yes,fiber_optic,month-to-month,104.95,yes
female,0,no,61,yes,yes,dsl,two_year,89.65,no
male,0,no,17,yes,yes,fiber_optic,one_year,86.75,no
female,0,no,41,yes,no,fiber_optic,one_year,86.2,no
male,0,no,1,yes,no,dsl,month-to-month,50.65,yes
male,1,yes,72,no,no,dsl,two_year,64.8,no
male,0,no,1,yes,yes,fiber_optic,month-to-month,90.85,yes
male,0,no,48,yes,yes,fiber_optic,two_year,108.1,no
male,1,no,11,yes,no,dsl,month-to-month,19.95,yes
female,1,no,55,yes,yes,fiber_optic,month-to-month,85.45,yes
female,0,no,42,no,no,dsl,one_year,54.75,no
male,0,no,44,yes,yes,fiber_optic,month-to-month,90.4,no
male,0,yes,1,yes,no,dsl,month-to-month,44.0,no
female,0,no,27,yes,yes,fiber_optic,month-to-month,95.6,no
male,1,no,27,yes,yes,dsl,month-to-month,84.8,no
female,1,no,2,yes,no,dsl,month-to-month,44.3,no
female,0,no,19,yes,no,dsl,month-to-month,19.9,no
female,1,no,42,yes,yes,fiber_optic,month-to-month,95.05,no
female,0,no,66,yes,yes,dsl,two_year,90.05,no
male,1,no,33,yes,yes,fiber_optic,month-to-month,109.9,no
female,0,no,34,yes,no,fiber_optic,month-to-month,73.95,yes
male,1,no,33,no,no,dsl,month-to-month,54.6,no
female,0,yes,23,yes,no,dsl,one_year,20.05,no
female,0,no,32,yes,no,dsl,one_year,19.75,no
female,0,no,11,yes,no,dsl,one_year,20.05,no
male,0,yes,69,yes,yes,fiber_optic,month-to-month,99.45,yes
female,0,no,68,yes,no,dsl,one_year,55.9,no
male,0,no,20,yes,no,dsl,two_year,19.7,no
male,0,no,72,yes,no,dsl,two_year,19.8,no
male,0,yes,60,yes,yes,fiber_optic,one_year,95.4,no
male,1,yes,32,yes,no,fiber_optic,month-to-month,93.95,no
female,0,no,1,yes,no,dsl,month-to-month,19.9,yes
male,0,no,1,yes,no,dsl,month-to-month,19.6,yes
male,1,no,3,yes,yes,fiber_optic,month-to-month,81.35,yes
female,0,no,46,yes,yes,dsl,one_year,24.45,no
female,0,no,29,yes,yes,fiber_optic,month-to-month,74.95,no
male,0,no,51,yes,yes,fiber_optic,month-to-month,87.35,no
female,1,no,48,yes,no,fiber_optic,month-to-month,70.65,no
female,0,yes,16,yes,no,fiber_optic,month-to-month,73.25,no
male,0,no,70,yes,yes,fiber_optic,two_year,98.7,no
female,0,yes,40,yes,yes,dsl,two_year,24.8,no
female,0,yes,22,yes,no,fiber_optic,month-to-month,83.3,yes
female,1,no,1,yes,no,fiber_optic,month-to-month,75.3,yes
female,0,yes,5,yes,yes,dsl,month-to-month,24.3,no
female,0,no,7,yes,no,fiber_optic,month-to-month,69.85,no
male,0,yes,29,yes,yes,fiber_optic,one_year,100.55,no
male,0,yes,44,yes,yes,dsl,one_year,25.7,no
female,0,no,10,no,no,dsl,month-to-month,40.7,no
female,1,no,55,yes,yes,dsl,month-to-month,51.65,no
male,1,no,52,yes,yes,fiber_optic,one_year,105.1,no
female,0,yes,10,yes,yes,fiber_optic,month-to-month,85.95,no
male,0,no,18,yes,yes,fiber_optic,month-to-month,75.6,no
female,0,no,68,yes,yes,dsl,one_year,58.25,no
female,0,yes,61,yes,no,dsl,month-to-month,19.4,yes
female,0,yes,72,no,no,dsl,two_year,65.2,no
male,0,no,2,yes,no,dsl,month-to-month,53.45,no
male,0,no,12,yes,no,dsl,month-to-month,45.4,yes
male,0,no,41,yes,no,dsl,two_year,19.75,no
female,0,no,26,no,no,dsl,month-to-month,44.45,no
male,0,no,36,yes,no,dsl,one_year,20.85,no
male,0,yes,72,yes,yes,fiber_optic,two_year,114.05,no
male,0,no,35,yes,yes,fiber_optic,month-to-month,89.85,no
male,0,no,1,yes,no,dsl,month-to-month,55.05,no
female,0,yes,16,yes,yes,fiber_optic,month-to-month,112.95,no
female,1,no,49,yes,yes,fiber_optic,month-to-month,101.55,no
female,0,no,54,yes,yes,fiber_optic,one_year,114.65,no
female,0,yes,18,yes,yes,dsl,month-to-month,64.8,no
female,0,no,36,yes,no,fiber_optic,month-to-month,80.4,no
female,0,no,60,yes,yes,fiber_optic,month-to-month,105.9,yes
female,0,no,1,yes,no,fiber_optic,month-to-month,69.55,yes
female,0,yes,52,yes,yes,dsl,two_year,25.05,no
male,0,yes,8,yes,no,fiber_optic,month-to-month,94.75,no
male,0,yes,72,yes,no,fiber_optic,two_year,105.5,no
female,0,no,64,yes,yes,dsl,one_year,24.7,no
female,1,no,22,yes,no,dsl,month-to-month,69.75,no
male,0,no,60,no,no,dsl,month-to-month,60.2,no
female,0,yes,28,yes,no,fiber_optic,month-to-month,81.05,yes
female,0,no,61,yes,yes,dsl,two_year,24.4,no
female,0,no,24,yes,yes,fiber_optic,month-to-month,104.15,no
male,0,yes,28,yes,no,fiber_optic,one_year,92.9,no
female,0,yes,30,yes,no,dsl,two_year,80.8,no
