gender,seniorcitizen,dependents,tenure,phoneservice,multiplelines,internetservice,contract,monthlycharges
male,0,no,61,yes,yes,dsl,two_year,75.35
male,0,no,33,yes,no,dsl,month-to-month,44.55
female,1,yes,65,yes,yes,fiber_optic,one_year,103.9
female,1,no,1,yes,no,fiber_optic,month-to-month,75.3
female,0,yes,38,yes,no,dsl,two_year,20.2
male,0,no,71,yes,yes,fiber_optic,one_year,97.65
female,0,no,5,yes,no,fiber_optic,month-to-month,69.95
male,0,yes,8,yes,yes,dsl,two_year,76.15
male,0,no,22,yes,yes,fiber_optic,month-to-month,95.9
male,0,no,72,yes,no,dsl,two_year,20.8
male,0,no,17,no,no,dsl,one_year,54.6
male,0,no,26,yes,no,dsl,one_year,75.0
female,0,no,1,yes,yes,fiber_optic,month-to-month,85.0
male,0,no,72,yes,yes,dsl,two_year,85.15
male,0,no,27,yes,no,dsl,month-to-month,50.35
male,0,no,4,yes,no,fiber_optic,month-to-month,77.85
male,0,no,57,yes,yes,fiber_optic,two_year,107.95
male,0,yes,31,yes,no,dsl,month-to-month,20.65
female,0,yes,59,yes,yes,fiber_optic,month-to-month,96.65
female,0,no,5,yes,yes,dsl,month-to-month,64.0
male,0,no,15,no,no,dsl,one_year,50.75
female,0,no,49,yes,yes,dsl,month-to-month,52.15
female,1,no,32,yes,no,dsl,month-to-month,54.65
female,0,no,58,yes,yes,dsl,one_year,68.4
female,0,no,45,yes,no,dsl,one_year,62.55
male,0,yes,47,yes,yes,fiber_optic,month-to-month,107.35
male,0,yes,46,yes,no,dsl,one_year,20.2
male,0,no,51,yes,no,fiber_optic,one_year,86.35
female,1,no,44,yes,no,fiber_optic,month-to-month,85.15
female,0,yes,14,yes,yes,dsl,month-to-month,80.45
male,0,no,10,yes,yes,fiber_optic,month-to-month,95.25
female,0,no,30,yes,yes,fiber_optic,month-to-month,85.0
male,0,no,1,no,no,dsl,month-to-month,24.8
male,1,no,34,yes,yes,fiber_optic,month-to-month,75.55
female,0,yes,56,yes,yes,dsl,one_year,65.2
female,0,yes,60,yes,no,dsl,two_year,80.6
male,0,no,59,yes,yes,fiber_optic,one_year,110.15
female,0,no,64,yes,yes,fiber_optic,two_year,115.1
male,0,no,18,yes,no,dsl,two_year,20.05
male,0,no,7,yes,no,fiber_optic,month-to-month,69.15
male,0,no,28,yes,no,fiber_optic,month-to-month,76.55
male,0,no,1,yes,no,dsl,month-to-month,20.2
female,0,no,6,yes,no,fiber_optic,month-to-month,89.3
female,1,no,1,yes,no,fiber_optic,month-to-month,70.15
male,0,no,3,yes,no,dsl,one_year,19.45
male,0,yes,5,yes,no,dsl,month-to-month,19.45
male,0,no,38,yes,no,dsl,two_year,20.4
female,1,no,1,no,no,dsl,month-to-month,25.7
female,0,yes,44,yes,no,dsl,month-to-month,56.25
female,1,no,45,yes,no,fiber_optic,month-to-month,85.7
male,0,yes,71,yes,no,dsl,two_year,70.85
female,0,yes,22,yes,no,dsl,month-to-month,20.55
male,0,no,4,yes,no,fiber_optic,month-to-month,70.2
male,0,no,4,yes,yes,fiber_optic,month-to-month,85.65
male,0,no,31,yes,no,dsl,month-to-month,72.45
male,0,no,54,yes,yes,fiber_optic,month-to-month,109.55
male,0,no,70,yes,yes,fiber_optic,two_year,88.0
female,0,no,61,yes,no,dsl,one_year,19.45
female,0,no,8,yes,yes,fiber_optic,month-to-month,103.35
female,0,no,71,yes,yes,dsl,two_year,24.55
female,0,yes,4,yes,yes,dsl,month-to-month,25.45
female,1,no,38,yes,no,fiber_optic,month-to-month,83.45
female,0,no,27,yes,yes,fiber_optic,month-to-month,95.0
female,0,yes,65,yes,yes,dsl,two_year,25.3
female,0,no,3,yes,no,dsl,month-to-month,19.75
female,0,no,39,yes,no,dsl,two_year,20.15
female,0,yes,72,yes,yes,dsl,two_year,66.75
female,0,no,47,yes,yes,fiber_optic,month-to-month,106.35
female,0,yes,1,yes,no,dsl,month-to-month,45.95
female,0,no,72,yes,yes,fiber_optic,two_year,105.0
male,0,yes,10,yes,no,dsl,month-to-month,60.2
female,0,no,16,yes,no,dsl,month-to-month,53.9
male,0,no,18,yes,yes,dsl,one_year,23.75
female,0,no,34,yes,no,dsl,month-to-month,20.35
male,0,no,25,no,no,dsl,one_year,38.1
male,0,yes,1,yes,no,fiber_optic,month-to-month,68.5
female,0,no,62,yes,yes,dsl,two_year,25.8
female,0,no,50,yes,yes,fiber_optic,one_year,108.55
male,0,no,12,yes,no,dsl,one_year,59.8
female,0,no,64,yes,no,dsl,two_year,19.45
male,0,yes,68,yes,yes,fiber_optic,two_year,114.7
male,0,yes,55,yes,no,dsl,one_year,19.1
male,0,no,15,yes,yes,fiber_optic,month-to-month,87.75
female,0,yes,42,yes,no,fiber_optic,two_year,100.4
female,1,no,11,yes,no,fiber_optic,month-to-month,95.0
female,0,yes,49,yes,no,dsl,one_year,19.45
male,0,no,31,yes,no,fiber_optic,month-to-month,101.4
male,0,yes,59,yes,no,dsl,two_year,19.3
male,0,yes,56,yes,yes,dsl,two_year,24.8
male,0,no,19,yes,no,dsl,month-to-month,55.0
female,0,no,56,yes,yes,fiber_optic,one_year,98.0
male,0,yes,12,yes,no,dsl,one_year,53.65
male,1,no,3,yes,yes,fiber_optic,month-to-month,105.0
male,0,no,4,yes,no,dsl,month-to-month,19.0
female,0,no,71,yes,yes,dsl,two_year,25.0
male,0,no,5,yes,yes,fiber_optic,month-to-month,85.3
male,0,yes,1,yes,no,dsl,month-to-month,44.4
female,0,no,3,yes,no,fiber_optic,month-to-month,99.0
female,0,yes,65,yes,no,dsl,one_year,61.35
male,0,no,1,no,no,dsl,month-to-month,50.35
female,0,yes,1,yes,no,dsl,month-to-month,19.25
male,0,no,19,yes,yes,fiber_optic,month-to-month,86.0
female,1,no,51,yes,yes,fiber_optic,month-to-month,77.5
female,0,yes,52,yes,no,dsl,two_year,19.85
male,0,no,57,yes,yes,fiber_optic,month-to-month,103.05
female,1,no,60,yes,yes,fiber_optic,two_year,116.05
male,0,yes,24,yes,yes,dsl,two_year,24.1
female,0,yes,41,yes,no,dsl,one_year,66.5
female,1,no,63,yes,yes,fiber_optic,month-to-month,89.6
male,0,yes,33,yes,yes,fiber_optic,month-to-month,95.3
male,0,no,48,yes,yes,fiber_optic,month-to-month,111.45
male,0,yes,64,yes,yes,fiber_optic,one_year,90.25
female,0,yes,67,yes,yes,fiber_optic,two_year,104.0
female,0,no,11,yes,yes,fiber_optic,month-to-month,76.5
male,0,no,44,yes,no,fiber_optic,month-to-month,100.55
male,0,no,71,yes,yes,dsl,two_year,80.1
female,0,yes,65,yes,yes,fiber_optic,two_year,110.8
male,0,no,71,yes,no,dsl,two_year,79.1
male,0,yes,61,yes,yes,fiber_optic,one_year,99.9
female,1,no,35,yes,no,fiber_optic,month-to-month,70.55
male,0,no,2,yes,yes,dsl,month-to-month,62.05
female,0,no,2,yes,no,dsl,month-to-month,18.75
male,0,yes,1,yes,no,dsl,month-to-month,48.95
female,1,no,3,yes,no,dsl,month-to-month,45.0
male,0,no,68,yes,no,fiber_optic,one_year,79.6
female,0,no,2,yes,no,fiber_optic,month-to-month,70.35
female,0,no,6,yes,no,dsl,month-to-month,20.7
male,0,no,64,yes,no,dsl,two_year,19.55
female,0,yes,72,yes,no,fiber_optic,two_year,108.3
male,1,no,34,yes,no,fiber_optic,month-to-month,71.55
female,0,no,52,no,no,dsl,two_year,39.1
female,0,yes,55,yes,yes,fiber_optic,month-to-month,85.1
female,0,no,13,yes,yes,fiber_optic,month-to-month,75.0
female,0,yes,8,yes,no,dsl,month-to-month,21.05
male,0,yes,7,yes,no,dsl,month-to-month,20.25
female,1,yes,66,yes,yes,fiber_optic,one_year,104.9
female,0,no,3,yes,no,fiber_optic,month-to-month,89.45
male,0,yes,65,yes,no,dsl,two_year,19.9
female,0,yes,58,no,no,dsl,two_year,59.75
female,0,no,68,yes,yes,fiber_optic,two_year,90.2
female,0,no,1,yes,no,fiber_optic,month-to-month,70.6
male,0,no,1,yes,no,fiber_optic,month-to-month,74.0
female,1,no,1,yes,no,fiber_optic,month-to-month,69.95
female,1,no,71,yes,yes,fiber_optic,month-to-month,99.65
female,1,no,15,yes,no,fiber_optic,month-to-month,94.65
male,0,no,57,no,no,dsl,two_year,53.35
female,0,yes,71,yes,no,dsl,two_year,87.25
female,0,no,65,yes,yes,fiber_optic,one_year,89.85
female,0,yes,72,yes,yes,dsl,two_year,92.65
female,0,no,32,yes,no,dsl,one_year,19.75
male,0,no,23,yes,yes,fiber_optic,month-to-month,104.05
female,0,yes,61,yes,no,dsl,month-to-month,19.4
female,0,no,37,yes,no,dsl,one_year,19.85
male,0,yes,1,yes,no,dsl,month-to-month,19.45
female,1,no,8,yes,yes,fiber_optic,month-to-month,105.5
female,0,no,13,yes,yes,fiber_optic,month-to-month,89.4
female,0,no,4,yes,yes,fiber_optic,month-to-month,80.3
male,0,yes,63,yes,yes,dsl,two_year,83.5
female,0,no,64,yes,no,fiber_optic,one_year,96.9
female,0,no,43,yes,no,dsl,two_year,19.65
male,0,no,15,yes,no,dsl,month-to-month,19.75
female,0,no,10,yes,no,dsl,month-to-month,51.2
female,1,no,4,yes,yes,fiber_optic,month-to-month,99.6
female,0,yes,4,yes,yes,fiber_optic,month-to-month,85.95
male,0,no,71,yes,yes,fiber_optic,one_year,116.3
male,0,no,46,no,no,dsl,two_year,40.4
female,0,no,29,yes,yes,dsl,month-to-month,67.45
male,0,no,2,yes,no,fiber_optic,month-to-month,70.3
male,0,no,72,yes,yes,fiber_optic,two_year,110.6
female,0,no,1,yes,no,dsl,month-to-month,45.15
female,0,no,70,yes,yes,dsl,two_year,65.3
female,0,no,32,yes,no,fiber_optic,month-to-month,84.15
female,0,no,13,no,no,dsl,month-to-month,35.1
female,0,no,41,yes,yes,fiber_optic,month-to-month,98.05
male,0,no,1,yes,no,dsl,month-to-month,50.7
female,0,no,1,yes,no,dsl,month-to-month,54.75
female,0,yes,72,yes,yes,dsl,two_year,80.2
male,0,yes,2,yes,no,fiber_optic,month-to-month,97.1
male,0,yes,32,yes,yes,fiber_optic,month-to-month,99.55
female,0,yes,50,yes,no,dsl,one_year,70.8
female,0,yes,69,yes,no,dsl,two_year,20.15
female,0,no,7,yes,no,dsl,month-to-month,50.3
male,0,yes,2,yes,no,dsl,one_year,20.2
male,0,no,1,yes,yes,fiber_optic,month-to-month,75.3
female,0,no,39,no,no,dsl,month-to-month,50.75
female,0,no,54,yes,yes,fiber_optic,two_year,97.2
female,1,no,48,yes,yes,fiber_optic,month-to-month,117.45
female,0,no,72,yes,yes,dsl,two_year,25.65
male,1,no,57,yes,yes,dsl,one_year,71.1
female,0,yes,62,yes,yes,fiber_optic,one_year,110.8
female,0,no,9,yes,no,fiber_optic,month-to-month,71.0
female,0,yes,24,yes,no,dsl,two_year,19.75
female,0,no,58,yes,yes,dsl,one_year,61.05
male,0,no,19,yes,no,fiber_optic,month-to-month,89.95
male,0,no,1,yes,no,fiber_optic,month-to-month,70.35
male,1,no,54,yes,no,dsl,one_year,65.25
female,0,no,8,yes,yes,fiber_optic,month-to-month,99.65
male,0,no,25,yes,no,fiber_optic,two_year,99.3
female,0,no,3,yes,yes,fiber_optic,month-to-month,74.95
female,0,no,23,yes,yes,dsl,month-to-month,73.65
male,0,no,1,yes,no,dsl,month-to-month,47.95
female,0,no,8,yes,yes,dsl,month-to-month,65.5
female,0,no,22,yes,yes,dsl,month-to-month,59.05
male,0,no,31,yes,no,fiber_optic,one_year,93.8
female,0,no,54,yes,yes,fiber_optic,one_year,110.35
female,0,no,29,yes,no,dsl,one_year,58.0
female,0,yes,42,yes,no,fiber_optic,month-to-month,77.95
female,0,no,2,yes,no,fiber_optic,month-to-month,90.35
female,0,yes,46,no,no,dsl,month-to-month,35.05
male,1,no,40,yes,no,dsl,one_year,55.8
female,0,no,72,yes,yes,fiber_optic,two_year,113.65
male,0,no,3,no,no,dsl,month-to-month,30.4
female,0,yes,53,yes,no,dsl,two_year,20.9
female,0,no,68,no,no,dsl,month-to-month,44.95
male,0,no,37,yes,no,dsl,one_year,20.15
male,0,no,1,yes,yes,dsl,month-to-month,25.0
male,0,no,61,yes,yes,fiber_optic,month-to-month,106.45
male,0,yes,72,no,no,dsl,two_year,65.1
male,0,no,1,yes,no,dsl,month-to-month,19.75
male,0,no,33,yes,no,fiber_optic,two_year,80.6
female,0,no,38,yes,yes,fiber_optic,month-to-month,105.0
male,0,yes,35,yes,no,dsl,one_year,19.9
male,0,yes,31,yes,yes,dsl,month-to-month,59.7
female,0,no,72,yes,yes,fiber_optic,two_year,110.75
female,0,no,1,yes,yes,fiber_optic,month-to-month,100.25
female,0,no,11,yes,no,fiber_optic,month-to-month,94.2
female,0,yes,69,no,no,dsl,two_year,46.25
male,0,no,60,yes,yes,dsl,one_year,24.15
male,0,yes,35,yes,no,dsl,two_year,19.6
female,0,no,32,yes,yes,fiber_optic,one_year,84.05
female,0,no,22,yes,no,fiber_optic,month-to-month,84.3
female,1,no,70,yes,yes,fiber_optic,two_year,113.65
female,0,no,27,yes,yes,fiber_optic,month-to-month,95.6
male,0,no,9,yes,no,fiber_optic,month-to-month,79.9
female,0,yes,64,yes,yes,dsl,one_year,24.9
male,0,no,5,yes,yes,dsl,month-to-month,47.15
male,0,no,3,yes,no,fiber_optic,month-to-month,88.35
female,0,no,1,yes,no,dsl,month-to-month,49.95
female,0,yes,18,yes,yes,dsl,two_year,25.1
female,0,no,48,yes,yes,dsl,one_year,83.45
female,1,no,9,yes,no,fiber_optic,month-to-month,75.5
female,0,no,1,yes,no,dsl,month-to-month,19.9
male,0,no,15,yes,yes,fiber_optic,month-to-month,95.7
male,0,no,24,yes,yes,fiber_optic,month-to-month,94.1
male,0,yes,71,yes,yes,dsl,two_year,91.25
female,0,no,30,yes,yes,dsl,one_year,68.95
female,0,no,71,yes,yes,dsl,two_year,24.45
female,0,yes,23,yes,yes,fiber_optic,month-to-month,85.6
male,0,yes,3,yes,no,dsl,month-to-month,20.85
female,0,yes,13,yes,no,dsl,month-to-month,20.45
female,0,no,38,yes,no,dsl,one_year,19.3
female,1,no,5,yes,no,fiber_optic,month-to-month,84.7
female,0,no,40,yes,yes,dsl,month-to-month,56.6
female,0,no,60,no,no,dsl,month-to-month,50.8
male,1,no,7,no,no,dsl,month-to-month,29.8
female,0,no,64,yes,no,fiber_optic,two_year,99.0
male,0,no,3,yes,yes,dsl,month-to-month,23.6
male,0,no,25,yes,yes,fiber_optic,month-to-month,94.7
female,0,yes,49,yes,yes,fiber_optic,month-to-month,95.4
male,1,no,65,yes,yes,fiber_optic,two_year,109.05
female,0,yes,41,yes,no,fiber_optic,month-to-month,94.9
male,0,no,18,yes,yes,fiber_optic,month-to-month,74.15
female,0,yes,71,yes,yes,dsl,two_year,24.7
male,0,no,67,yes,no,dsl,two_year,19.95
female,0,no,54,yes,no,dsl,two_year,20.1
female,1,no,43,no,no,dsl,month-to-month,55.55
female,0,no,10,yes,no,dsl,one_year,20.1
female,0,no,26,yes,yes,fiber_optic,month-to-month,100.5
female,0,no,1,yes,no,fiber_optic,month-to-month,69.2
male,0,no,64,yes,yes,fiber_optic,one_year,84.3
female,0,yes,69,yes,yes,dsl,one_year,73.7
female,0,no,18,yes,no,fiber_optic,month-to-month,74.8
female,0,no,7,yes,no,fiber_optic,month-to-month,79.0
female,0,no,67,yes,yes,fiber_optic,one_year,105.7
male,1,no,34,yes,no,fiber_optic,one_year,90.15
male,0,no,72,yes,yes,fiber_optic,two_year,116.95
female,0,no,53,yes,yes,fiber_optic,month-to-month,90.8
male,0,no,71,yes,yes,fiber_optic,two_year,116.1
male,0,yes,65,yes,yes,dsl,one_year,72.45
female,0,yes,15,yes,yes,fiber_optic,month-to-month,105.35
female,0,no,41,yes,yes,dsl,one_year,80.55
male,1,no,24,yes,yes,fiber_optic,month-to-month,102.95
male,1,no,23,no,no,dsl,month-to-month,34.65
male,0,yes,51,yes,yes,dsl,one_year,23.95
male,0,no,42,yes,yes,fiber_optic,month-to-month,99.45
female,0,yes,34,yes,no,dsl,one_year,60.8
male,0,no,5,yes,no,fiber_optic,month-to-month,94.45
male,1,no,16,no,no,dsl,month-to-month,39.0
male,0,no,7,yes,no,fiber_optic,month-to-month,69.55
female,0,yes,61,yes,yes,dsl,two_year,24.2
male,0,yes,0,yes,no,dsl,one_year,19.7
female,0,yes,15,yes,no,dsl,month-to-month,20.05
female,0,no,44,yes,no,fiber_optic,month-to-month,88.15
female,0,no,11,yes,yes,fiber_optic,month-to-month,94.0
female,1,no,37,yes,no,dsl,one_year,19.6
male,0,yes,4,yes,no,dsl,month-to-month,61.45
male,1,no,6,yes,no,fiber_optic,month-to-month,84.2
female,0,no,2,yes,no,dsl,month-to-month,45.55
female,1,no,15,yes,yes,fiber_optic,month-to-month,83.05
male,0,no,71,yes,yes,fiber_optic,month-to-month,93.25
male,0,no,72,yes,yes,dsl,two_year,24.75
male,0,no,22,yes,yes,fiber_optic,month-to-month,78.85
female,0,yes,72,yes,no,dsl,two_year,20.1
male,1,no,2,yes,no,dsl,month-to-month,44.95
male,0,no,50,yes,no,dsl,two_year,19.8
female,0,yes,24,yes,no,dsl,two_year,19.7
female,0,no,1,yes,no,dsl,month-to-month,19.15
male,0,yes,66,yes,yes,dsl,two_year,25.3
female,0,yes,68,yes,yes,fiber_optic,two_year,103.75
female,0,no,71,yes,yes,fiber_optic,one_year,104.1
male,0,no,1,yes,no,dsl,month-to-month,19.45
female,1,no,7,yes,no,fiber_optic,month-to-month,89.15
male,0,yes,24,yes,no,dsl,one_year,56.25
female,1,no,72,yes,yes,dsl,two_year,89.85
male,0,yes,72,yes,yes,dsl,two_year,90.6
male,0,no,41,yes,yes,dsl,one_year,65.0
male,0,yes,64,yes,yes,dsl,two_year,24.8
male,0,no,65,yes,yes,dsl,one_year,67.05
male,0,no,2,yes,no,dsl,month-to-month,50.2
female,0,no,50,yes,yes,fiber_optic,two_year,109.65
female,1,no,22,yes,yes,dsl,month-to-month,63.55
male,0,yes,31,yes,yes,dsl,two_year,25.75
male,0,no,15,yes,yes,dsl,month-to-month,49.0
female,1,no,12,yes,no,dsl,one_year,79.2
female,0,no,1,yes,no,fiber_optic,month-to-month,74.35
male,0,yes,39,yes,no,dsl,one_year,59.8
female,0,no,23,yes,no,fiber_optic,month-to-month,83.2
male,0,no,8,no,no,dsl,month-to-month,30.45
female,0,no,4,yes,no,dsl,month-to-month,60.4
male,0,no,45,yes,no,dsl,one_year,18.85
female,0,no,5,yes,no,dsl,month-to-month,53.85
male,0,no,64,yes,yes,fiber_optic,one_year,108.5
male,1,no,29,yes,yes,fiber_optic,month-to-month,95.9
male,0,yes,57,yes,yes,dsl,two_year,89.55
male,0,yes,65,yes,yes,fiber_optic,two_year,94.55
female,0,no,70,yes,yes,fiber_optic,two_year,110.5
female,0,yes,10,yes,no,dsl,month-to-month,65.5
male,0,no,4,yes,no,dsl,one_year,19.95
male,0,yes,11,yes,no,fiber_optic,month-to-month,90.6
female,0,no,72,no,no,dsl,two_year,49.2
female,0,no,11,yes,yes,fiber_optic,month-to-month,100.75
female,0,yes,17,yes,no,fiber_optic,one_year,98.6
female,0,no,16,yes,yes,fiber_optic,month-to-month,74.75
female,0,yes,37,yes,no,dsl,one_year,20.3
female,0,no,25,yes,no,dsl,month-to-month,65.8
male,0,no,45,yes,no,dsl,month-to-month,75.95
male,0,no,5,yes,no,dsl,month-to-month,55.8
female,0,yes,30,yes,no,dsl,two_year,19.7
female,0,yes,57,yes,no,dsl,one_year,53.45
male,1,no,9,yes,yes,fiber_optic,month-to-month,100.5
male,0,no,52,yes,no,fiber_optic,month-to-month,83.8
female,0,yes,23,no,no,dsl,two_year,34.6
female,0,no,62,yes,yes,fiber_optic,one_year,115.05
female,0,yes,62,yes,yes,fiber_optic,one_year,106.05
female,0,yes,29,yes,no,dsl,two_year,20.2
female,0,no,15,yes,yes,dsl,month-to-month,55.7
male,0,yes,56,yes,yes,dsl,one_year,24.45
female,0,no,13,no,no,dsl,month-to-month,29.15
female,0,yes,72,yes,no,dsl,two_year,80.45
female,0,no,66,yes,yes,fiber_optic,one_year,88.9
female,0,no,3,yes,no,dsl,month-to-month,19.85
female,0,no,47,yes,yes,dsl,two_year,65.0
female,0,no,8,yes,no,dsl,month-to-month,20.15
female,1,no,17,yes,yes,fiber_optic,month-to-month,92.55
male,0,no,30,yes,no,fiber_optic,one_year,97.0
female,0,no,44,yes,yes,dsl,month-to-month,50.15
female,0,no,1,yes,yes,dsl,month-to-month,49.95
female,1,no,39,yes,yes,fiber_optic,month-to-month,99.75
male,0,no,41,yes,yes,fiber_optic,month-to-month,104.7
female,0,no,33,yes,yes,fiber_optic,month-to-month,83.35
male,0,yes,60,yes,no,dsl,two_year,76.95
female,0,no,7,yes,no,fiber_optic,month-to-month,86.25
male,0,no,72,yes,yes,fiber_optic,one_year,117.8
female,0,no,48,yes,no,fiber_optic,month-to-month,100.05
female,0,no,1,yes,no,dsl,month-to-month,20.5
male,1,no,24,no,no,dsl,month-to-month,34.25
female,0,no,7,yes,no,fiber_optic,month-to-month,81.1
female,0,no,68,yes,yes,fiber_optic,two_year,110.25
female,0,no,61,yes,yes,fiber_optic,one_year,103.3
male,1,no,24,yes,no,fiber_optic,month-to-month,70.0
female,0,yes,5,yes,no,fiber_optic,month-to-month,83.6
male,0,yes,1,yes,yes,fiber_optic,month-to-month,99.75
male,0,yes,27,yes,yes,fiber_optic,month-to-month,100.75
female,1,no,17,yes,no,dsl,one_year,20.65
female,0,no,25,yes,no,fiber_optic,month-to-month,79.85
male,0,no,52,yes,no,dsl,two_year,21.0
female,0,no,9,yes,no,dsl,month-to-month,66.25
female,0,no,1,yes,no,dsl,month-to-month,19.55
female,0,no,62,yes,yes,fiber_optic,two_year,113.95
male,0,no,11,yes,no,dsl,month-to-month,20.45
female,0,yes,72,yes,yes,fiber_optic,two_year,115.6
female,0,yes,45,no,no,dsl,one_year,51.0
male,0,yes,53,yes,yes,dsl,one_year,78.75
male,0,no,48,yes,yes,dsl,one_year,70.55
female,0,yes,37,yes,no,dsl,one_year,75.1
male,0,no,27,yes,yes,dsl,month-to-month,59.45
male,0,no,37,yes,yes,dsl,one_year,90.6
female,0,no,31,yes,no,fiber_optic,month-to-month,87.6
female,0,no,63,yes,no,fiber_optic,one_year,81.15
female,1,no,70,yes,yes,dsl,two_year,75.5
male,0,no,28,no,no,dsl,month-to-month,30.1
female,0,yes,72,no,no,dsl,two_year,63.8
female,0,no,59,yes,yes,dsl,two_year,24.45
female,1,no,26,yes,no,fiber_optic,month-to-month,85.8
female,0,no,71,yes,yes,dsl,two_year,85.75
female,0,yes,14,yes,yes,fiber_optic,month-to-month,84.8
male,0,no,64,yes,yes,dsl,two_year,76.1
male,1,no,58,yes,yes,fiber_optic,month-to-month,98.7
male,1,no,50,yes,yes,dsl,month-to-month,70.35
female,0,no,15,yes,yes,dsl,month-to-month,48.8
male,0,no,1,yes,no,dsl,month-to-month,20.05
female,0,yes,51,yes,no,dsl,two_year,19.95
male,0,yes,72,yes,yes,fiber_optic,one_year,104.9
female,1,no,46,yes,yes,dsl,one_year,69.1
male,0,no,2,yes,no,dsl,month-to-month,45.85
male,0,no,60,yes,no,dsl,two_year,61.4
female,0,yes,17,yes,yes,fiber_optic,month-to-month,92.7
female,1,no,72,yes,yes,fiber_optic,two_year,114.85
male,0,yes,67,yes,no,dsl,two_year,60.4
female,0,no,34,yes,no,dsl,one_year,55.0
male,0,yes,70,yes,yes,fiber_optic,month-to-month,97.55
female,0,no,4,yes,no,dsl,month-to-month,20.15
male,1,no,3,yes,yes,fiber_optic,month-to-month,94.6
female,0,no,7,yes,no,dsl,month-to-month,81.25
male,0,no,50,yes,yes,dsl,two_year,24.9
male,1,yes,8,yes,no,fiber_optic,month-to-month,80.45
female,0,no,54,yes,no,dsl,two_year,80.6
male,0,no,8,yes,no,fiber_optic,month-to-month,70.7
male,0,yes,49,yes,yes,fiber_optic,one_year,93.65
female,0,no,37,yes,yes,dsl,one_year,68.1
male,0,no,25,yes,no,fiber_optic,month-to-month,70.95
female,0,yes,23,yes,yes,dsl,two_year,91.1
male,0,no,34,yes,no,dsl,two_year,20.05
